grid_lat,grid_lon,date,fire_count,frp_sum,frp_mean,frp_max,fire_occurred
29.0,73.125,2023-04-16,1,10.44,10.44,10.44,1
29.0,73.125,2023-04-20,1,3.31,3.31,3.31,1
29.0,73.125,2023-04-21,1,7.34,7.34,7.34,1
29.0,73.125,2023-04-24,1,4.89,4.89,4.89,1
29.0,73.125,2023-04-27,2,5.550000000000001,2.7750000000000004,3.16,1
29.0,73.125,2023-05-04,3,14.780000000000001,4.926666666666667,5.3,1
29.0,73.125,2023-05-05,2,4.48,2.24,3.4,1
29.0,73.125,2023-05-16,1,2.19,2.19,2.19,1
29.0,73.125,2023-06-03,1,4.36,4.36,4.36,1
29.0,73.125,2023-06-05,1,3.66,3.66,3.66,1
29.0,73.125,2023-11-05,1,2.42,2.42,2.42,1
29.0,73.125,2023-11-06,1,4.68,4.68,4.68,1
29.0,73.125,2023-11-07,2,21.2,10.6,11.43,1
29.0,73.125,2023-11-10,4,21.37,5.3425,7.7,1
29.0,73.125,2023-11-13,3,11.31,3.77,6.11,1
29.0,73.125,2023-12-06,1,4.72,4.72,4.72,1
29.0,73.125,2024-04-23,2,11.24,5.62,5.88,1
29.0,73.125,2024-04-29,1,4.27,4.27,4.27,1
29.0,73.125,2024-05-01,1,5.4,5.4,5.4,1
29.0,73.125,2024-05-02,1,4.25,4.25,4.25,1
29.0,73.125,2024-05-04,2,18.1,9.05,9.73,1
29.0,73.125,2024-05-06,1,15.22,15.22,15.22,1
29.0,73.125,2024-05-12,1,1.18,1.18,1.18,1
29.0,73.125,2024-05-13,1,2.14,2.14,2.14,1
29.0,73.125,2024-05-18,1,7.5,7.5,7.5,1
29.0,73.125,2024-07-09,1,2.02,2.02,2.02,1
29.0,73.125,2024-10-14,2,6.8100000000000005,3.4050000000000002,4.2,1
29.0,73.125,2024-11-02,1,4.36,4.36,4.36,1
29.0,73.125,2024-11-07,2,4.13,2.065,2.72,1
29.0,73.125,2024-11-08,5,32.3,6.459999999999999,11.26,1
29.0,73.125,2024-11-11,3,15.84,5.28,8.76,1
29.0,73.125,2024-11-14,4,17.07,4.2675,5.69,1
29.0,73.125,2024-11-15,1,3.42,3.42,3.42,1
29.0,73.125,2024-11-16,2,13.719999999999999,6.859999999999999,8.28,1
29.0,73.125,2024-11-17,3,10.83,3.61,4.26,1
29.0,73.125,2024-11-18,3,11.780000000000001,3.926666666666667,4.94,1
29.0,73.125,2024-11-19,1,3.58,3.58,3.58,1
29.0,73.125,2024-11-20,5,85.35,17.07,28.96,1
29.0,73.125,2024-11-21,3,7.790000000000001,2.596666666666667,2.87,1
29.0,73.125,2024-11-22,3,10.08,3.36,3.86,1
29.0,73.125,2024-11-23,5,19.21,3.842,5.71,1
29.0,73.125,2024-11-24,4,25.14,6.285,16.94,1
29.0,73.125,2024-11-26,1,6.24,6.24,6.24,1
29.0,73.125,2024-11-27,4,11.809999999999999,2.9524999999999997,4.76,1
