latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,date,temperature,humidity,wind_speed,rainfall
30.30019,73.51273,338.0,0.48,0.65,2026-08-12,909,N,VIIRS,n,2.0NRT,290.59,7.14,D,2026-08-12,34.58,57.42,1.72,3.04
31.25882,76.92647,304.8,0.39,0.59,2026-08-12,2133,N,VIIRS,n,2.0NRT,288.82,0.61,N,2026-08-12,25.11,77.69,0.87,1.32
29.34646,73.11682,336.71,0.41,0.37,2026-08-14,833,N,VIIRS,n,2.0NRT,294.38,3.83,D,2026-08-14,-999.0,-999.0,-999.0,-999.0
30.65054,73.60814,331.28,0.44,0.38,2026-08-14,833,N,VIIRS,n,2.0NRT,296.58,2.72,D,2026-08-14,-999.0,-999.0,-999.0,-999.0
30.89121,73.19951,330.74,0.43,0.38,2026-08-14,833,N,VIIRS,l,2.0NRT,301.34,2.93,D,2026-08-14,-999.0,-999.0,-999.0,-999.0
30.89181,73.20399,331.33,0.43,0.38,2026-08-14,833,N,VIIRS,l,2.0NRT,301.68,2.93,D,2026-08-14,-999.0,-999.0,-999.0,-999.0
30.8953,73.20337,330.8,0.43,0.38,2026-08-14,833,N,VIIRS,l,2.0NRT,301.35,2.93,D,2026-08-14,-999.0,-999.0,-999.0,-999.0
30.89589,73.20786,331.09,0.43,0.38,2026-08-14,833,N,VIIRS,l,2.0NRT,301.6,4.5,D,2026-08-14,-999.0,-999.0,-999.0,-999.0
30.89827,73.22582,331.16,0.43,0.38,2026-08-14,833,N,VIIRS,l,2.0NRT,302.47,3.06,D,2026-08-14,-999.0,-999.0,-999.0,-999.0
30.90756,73.21498,330.42,0.43,0.38,2026-08-14,833,N,VIIRS,l,2.0NRT,301.49,3.47,D,2026-08-14,-999.0,-999.0,-999.0,-999.0
30.91165,73.21886,330.83,0.43,0.38,2026-08-14,835,N,VIIRS,l,2.0NRT,301.25,3.47,D,2026-08-14,-999.0,-999.0,-999.0,-999.0
31.03194,73.37009,331.52,0.43,0.38,2026-08-14,835,N,VIIRS,n,2.0NRT,301.15,6.75,D,2026-08-14,-999.0,-999.0,-999.0,-999.0
