grid_lat,grid_lon,date,temperature,humidity,wind_speed,rainfall
29.0,73.125,2023-01-01,15.25,35.23,1.98,0.0
29.0,73.75,2023-01-01,14.92,33.62,1.51,0.0
29.0,74.375,2023-01-01,14.59,34.16,1.12,0.0
29.0,75.0,2023-01-01,14.21,36.32,0.99,0.0
29.0,75.625,2023-01-01,13.68,40.29,1.15,0.0
29.0,76.25,2023-01-01,13.02,48.8,1.15,0.0
29.0,76.875,2023-01-01,12.79,52.27,1.06,0.0
29.5,73.125,2023-01-01,14.91,34.75,1.99,0.0
29.5,73.75,2023-01-01,14.69,33.77,1.49,0.0
29.5,74.375,2023-01-01,14.46,33.89,1.14,0.0
29.5,75.0,2023-01-01,13.95,35.59,1.02,0.0
29.5,75.625,2023-01-01,13.42,41.21,1.14,0.0
29.5,76.25,2023-01-01,12.88,50.22,1.09,0.0
29.5,76.875,2023-01-01,12.34,57.94,1.16,0.0
30.0,73.125,2023-01-01,14.6,34.07,1.89,0.0
30.0,73.75,2023-01-01,14.34,33.3,1.46,0.0
30.0,74.375,2023-01-01,13.94,33.42,1.15,0.0
30.0,75.0,2023-01-01,13.36,36.85,1.08,0.0
30.0,75.625,2023-01-01,12.83,45.13,1.12,0.0
30.0,76.25,2023-01-01,12.29,54.74,1.17,0.0
30.0,76.875,2023-01-01,12.18,61.99,1.13,0.0
30.5,73.125,2023-01-01,14.08,33.9,1.66,0.0
30.5,73.75,2023-01-01,13.61,34.32,1.35,0.0
30.5,74.375,2023-01-01,13.07,36.33,1.1,0.0
30.5,75.0,2023-01-01,12.61,41.68,1.1,0.0
30.5,75.625,2023-01-01,12.2,49.91,1.1,0.0
30.5,76.25,2023-01-01,12.16,57.82,1.11,0.0
30.5,76.875,2023-01-01,12.53,61.01,1.09,0.0
31.0,73.125,2023-01-01,13.13,36.04,1.44,0.0
31.0,73.75,2023-01-01,12.66,37.81,1.21,0.0
31.0,74.375,2023-01-01,12.24,43.32,1.11,0.0
31.0,75.0,2023-01-01,12.14,49.19,1.11,0.0
31.0,75.625,2023-01-01,12.03,55.25,0.99,0.0
31.0,76.25,2023-01-01,12.69,59.03,1.01,0.0
31.0,76.875,2023-01-01,10.3,63.16,1.11,0.0
31.5,73.125,2023-01-01,11.74,41.55,1.21,0.0
31.5,73.75,2023-01-01,11.96,45.63,1.12,0.0
31.5,74.375,2023-01-01,11.95,51.44,1.05,0.0
31.5,75.0,2023-01-01,11.93,56.31,1.04,0.0
31.5,75.625,2023-01-01,11.84,61.48,0.91,0.0
31.5,76.25,2023-01-01,12.28,59.94,1.03,0.0
31.5,76.875,2023-01-01,8.53,56.88,0.98,0.0
32.0,73.125,2023-01-01,11.56,43.77,0.94,0.0
32.0,73.75,2023-01-01,11.7,54.23,0.9,0.0
32.0,74.375,2023-01-01,11.84,59.1,0.93,0.0
32.0,75.0,2023-01-01,12.1,60.23,0.88,0.0
32.0,75.625,2023-01-01,12.12,61.45,0.99,0.0
32.0,76.25,2023-01-01,9.29,56.72,0.92,0.0
32.0,76.875,2023-01-01,1.75,50.25,1.07,0.0
32.5,73.125,2023-01-01,11.52,45.47,0.91,0.0
32.5,73.75,2023-01-01,11.92,54.89,0.9,0.0
32.5,74.375,2023-01-01,12.39,57.54,0.86,0.0
32.5,75.0,2023-01-01,12.09,56.88,1.0,0.0
32.5,75.625,2023-01-01,9.23,57.17,1.07,0.0
32.5,76.25,2023-01-01,0.77,56.51,1.06,0.0
32.5,76.875,2023-01-01,-11.38,55.11,1.19,0.0
33.0,73.125,2023-01-01,10.68,53.15,0.89,0.0
33.0,73.75,2023-01-01,12.39,50.4,1.13,0.0
33.0,74.375,2023-01-01,11.06,51.58,1.13,0.0
33.0,75.0,2023-01-01,8.09,52.41,1.12,0.0
33.0,75.625,2023-01-01,2.84,54.45,1.12,0.0
33.0,76.25,2023-01-01,-7.36,58.49,1.21,0.0
33.0,76.875,2023-01-01,-18.35,58.29,1.46,0.0
29.0,73.125,2023-01-02,13.65,32.02,1.89,0.0
29.0,73.75,2023-01-02,12.97,36.38,1.78,0.0
